year,day,both,one
2015,1,63727,14783
2015,2,44918,5060
2015,3,37505,3391
2015,4,32776,1335
2015,5,28212,5010
2015,6,25267,1177
2015,7,17747,655
2015,8,16426,975
2015,9,14725,306
2015,10,15609,602
2015,11,13696,185
2015,12,12174,1927
2015,13,11721,158
2015,14,11859,825
2015,15,10305,146
2015,16,10562,406
2015,17,9867,178
2015,18,9439,130
2015,19,6879,2191
2015,20,7730,511
2015,21,7318,168
2015,22,5507,145
2015,23,6752,36
2015,24,5750,75
2015,25,4978,1887
2016,1,20886,6041
2016,2,18655,2285
2016,3,17390,2093
2016,4,14783,844
2016,5,13859,661
2016,6,14321,431
2016,7,11548,1304
2016,8,11047,200
2016,9,8855,1566
2016,10,8310,145
2016,11,4970,319
2016,12,7269,91
2016,13,6004,274
2016,14,5925,249
2016,15,5962,39
2016,16,5960,174
2016,17,5123,119
2016,18,5654,39
2016,19,4896,910
2016,20,5357,237
2016,21,4809,283
2016,22,3774,1149
2016,23,4037,240
2016,24,3709,22
2016,25,3228,498
2017,1,49952,9995
2017,2,42125,7322
2017,3,25748,8914
2017,4,29713,3385
2017,5,27613,1582
2017,6,24313,1141
2017,7,17885,5171
2017,8,19486,564
2017,9,17109,470
2017,10,14290,1538
2017,11,14113,523
2017,12,13839,563
2017,13,12278,1090
2017,14,10486,763
2017,15,11678,305
2017,16,10799,979
2017,17,10415,606
2017,18,8800,1678
2017,19,9392,123
2017,20,8429,606
2017,21,7074,93
2017,22,7404,147
2017,23,6566,1018
2017,24,6676,83
2017,25,5981,1092
2018,1,72949,20391
2018,2,57525,6867
2018,3,44317,2468
2018,4,32395,1177
2018,5,32989,1283
2018,6,22948,1032
2018,7,19051,4235
2018,8,18648,1065
2018,9,16256,1188
2018,10,16638,76
2018,11,15483,1123
2018,12,13050,1396
2018,13,11259,769
2018,14,11425,703
2018,15,6598,328
2018,16,8778,324
2018,17,6302,40
2018,18,7723,477
2018,19,5992,1039
2018,20,5228,158
2018,21,4755,274
2018,22,4588,1185
2018,23,4104,2230
2018,24,4104,108
2018,25,3470,1579
2019,1,105575,14848
2019,2,79501,8586
2019,3,51126,7183
2019,4,53382,4545
2019,5,37484,1776
2019,6,34450,1980
2019,7,23978,5916
2019,8,29049,1193
2019,9,22321,108
2019,10,18327,3261
2019,11,16923,205
2019,12,15111,3720
2019,13,14097,1810
2019,14,11865,942
2019,15,10296,382
2019,16,8825,3725
2019,17,8240,1933
2019,18,5051,716
2019,19,7026,744
2019,20,5254,778
2019,21,5390,348
2019,22,4419,2710
2019,23,5199,159
2019,24,4949,1407
2019,25,3651,1115
2020,1,173312,14096
2020,2,145552,5431
2020,3,120891,4556
2020,4,98916,13385
2020,5,94215,2304
2020,6,88317,3091
2020,7,67273,6836
2020,8,67755,5694
2020,9,65879,1745
2020,10,51991,11881
2020,11,47398,5217
2020,12,46359,3872
2020,13,37305,11121
2020,14,36140,4258
2020,15,37085,2062
2020,16,31963,4400
2020,17,28440,822
2020,18,27554,1903
2020,19,20240,3619
2020,20,15648,4875
2020,21,18725,245
2020,22,18094,3356
2020,23,16073,2459
2020,24,16793,1010
2020,25,13579,4365
2021,1,204967,25116
2021,2,184163,7159
2021,3,131844,35828
2021,4,102497,6116
2021,5,90423,4545
2021,6,88836,6741
2021,7,87732,2322
2021,8,68419,12028
2021,9,64013,10322
2021,10,65219,1765
2021,11,58549,312
2021,12,49418,1958
2021,13,51481,881
2021,14,45660,6967
2021,15,38197,3390
2021,16,32588,1648
2021,17,32601,1431
2021,18,24869,169
2021,19,16554,250
2021,20,22489,352
2021,21,19585,6291
2021,22,15446,5932
2021,23,13050,2134
2021,24,12574,123
2021,25,10839,5382
